customer_id,name,email,phone,age,salary,purchase_amount,city,purchase_date
C0001,Amit Kumar,,9876543210,34,800000,80000,Mumbai,2024-01-01 00:00:00
C0002,Sneha Desai,rahul@example.com,9876543210,25,1700000,60000,Bangalore,2024-01-01 01:00:00
C0003,Priya  Patel,priya@example.com,9876543210,33,1100000,90000,Mumbai,2024-01-01 02:00:00
C0004,Sneha Desai,mayur@example.com,918765432109,30,800000,80000,Bangalore,2024-01-01 03:00:00
C0005,Sneha Desai,priya@example.com,918765432109,58,1900000,15000,Mumbai,2024-01-01 04:00:00
C0006,Rahul Sharma,priya@example.com,9876543210,28,1300000,45000,Bangalore,2024-01-01 05:00:00
C0007,Priya  Patel,,918765432109,45,1500000,80000,Pune,2024-01-01 06:00:00
C0008,Priya  Patel,rahul@example.com,918765432109,35,1200000,40000,Bangalore,2024-01-01 07:00:00
C0009,Priya  Patel,rahul@example.com,9876543210,24,500000,90000,Mumbai,2024-01-01 08:00:00
C0010,Sneha Desai,rahul@example.com,918765432109,29,1200000,35000,Pune,2024-01-01 09:00:00
C0011,Amit Kumar,rahul@example.com,7654321098,22,1700000,80000,Delhi,2024-01-01 10:00:00
C0012,Priya  Patel,priya@example.com,9876543210,32,800000,35000,Mumbai,2024-01-01 11:00:00
C0013,Mayurkumar Surani,rahul@example.com,9876543210,81,1200000,15000,Mumbai,2024-01-01 12:00:00
C0014,Sneha Desai,mayur@example.com,9876543210,49,700000,35000,Bangalore,2024-01-01 13:00:00
C0015,Rahul Sharma,priya@example.com,9876543210,25,1300000,30000,Pune,2024-01-01 14:00:00
C0016,Amit Kumar,mayur@example.com,9876543210,36,600000,80000,Delhi,2024-01-01 15:00:00
C0017,Mayurkumar Surani,rahul@example.com,9876543210,38,600000,147500,Pune,2024-01-01 16:00:00
C0018,Mayurkumar Surani,priya@example.com,9876543210,81,1700000,25000,Mumbai,2024-01-01 17:00:00
C0019,Rahul Sharma,rahul@example.com,9876543210,54,1900000,90000,Pune,2024-01-01 18:00:00
C0020,Amit Kumar,priya@example.com,9876543210,45,1600000,60000,Delhi,2024-01-01 19:00:00
C0021,Sneha Desai,,7654321098,24,800000,25000,Bangalore,2024-01-01 20:00:00
C0022,Mayurkumar Surani,rahul@example.com,9876543210,48,1200000,70000,Mumbai,2024-01-01 21:00:00
C0023,Amit Kumar,,7654321098,56,1300000,147500,Pune,2024-01-01 22:00:00
C0024,Rahul Sharma,rahul@example.com,9876543210,39,900000,90000,Mumbai,2024-01-01 23:00:00
C0025,Mayurkumar Surani,rahul@example.com,918765432109,40,1500000,50000,Mumbai,2024-01-02 00:00:00
C0026,Sneha Desai,priya@example.com,9876543210,29,1900000,25000,Bangalore,2024-01-02 01:00:00
C0027,Amit Kumar,rahul@example.com,918765432109,24,1300000,75000,Bangalore,2024-01-02 02:00:00
C0028,Mayurkumar Surani,mayur@example.com,918765432109,55,3150000,80000,Pune,2024-01-02 03:00:00
C0029,Mayurkumar Surani,rahul@example.com,9876543210,25,1600000,20000,Bangalore,2024-01-02 04:00:00
C0030,Priya  Patel,mayur@example.com,918765432109,45,1100000,75000,Pune,2024-01-02 05:00:00
C0031,Priya  Patel,rahul@example.com,7654321098,23,1400000,45000,Pune,2024-01-02 06:00:00
C0032,Rahul Sharma,mayur@example.com,918765432109,58,1400000,10000,Mumbai,2024-01-02 07:00:00
C0033,Amit Kumar,rahul@example.com,918765432109,58,1700000,55000,Bangalore,2024-01-02 08:00:00
C0034,Amit Kumar,,918765432109,54,1500000,95000,Pune,2024-01-02 09:00:00
C0035,Mayurkumar Surani,priya@example.com,9876543210,20,1700000,85000,Mumbai,2024-01-02 10:00:00
C0036,Mayurkumar Surani,rahul@example.com,9876543210,43,1200000,45000,Delhi,2024-01-02 11:00:00
C0037,Mayurkumar Surani,,7654321098,55,1200000,10000,Mumbai,2024-01-02 12:00:00
C0038,Priya  Patel,priya@example.com,7654321098,25,800000,65000,Mumbai,2024-01-02 13:00:00
C0039,Amit Kumar,priya@example.com,9876543210,40,1900000,45000,Pune,2024-01-02 14:00:00
C0040,Amit Kumar,mayur@example.com,7654321098,50,1500000,85000,Mumbai,2024-01-02 15:00:00
C0041,Mayurkumar Surani,rahul@example.com,9876543210,39,1500000,95000,Mumbai,2024-01-02 16:00:00
C0042,Priya  Patel,rahul@example.com,9876543210,43,500000,25000,Mumbai,2024-01-02 17:00:00
C0043,Sneha Desai,,918765432109,44,3150000,35000,Mumbai,2024-01-02 18:00:00
C0044,Priya  Patel,rahul@example.com,918765432109,55,1900000,65000,Pune,2024-01-02 19:00:00
C0045,Sneha Desai,rahul@example.com,7654321098,40,1000000,50000,Bangalore,2024-01-02 20:00:00
C0046,Mayurkumar Surani,rahul@example.com,9876543210,49,1900000,80000,Mumbai,2024-01-02 21:00:00
C0047,Rahul Sharma,,9876543210,43,1300000,85000,Mumbai,2024-01-02 22:00:00
C0048,Amit Kumar,rahul@example.com,7654321098,81,1800000,65000,Pune,2024-01-02 23:00:00
C0049,Mayurkumar Surani,rahul@example.com,9876543210,49,3150000,75000,Delhi,2024-01-03 00:00:00
